STT,T0,D,T,T
1,0,4,28,9.99
2,0,1,28,0.97
3,0,3,28,7.41
4,0,4,28,9.61
5,0,4,28,9.29
6,0,2,28,4.41
7,0,3,28,7.61
8,0,1,28,2.17
9,0,3,28,7.73
10,0,4,28,9.43
11,0,3,28,6.23
12,0,3,28,6.03
13,0,3,28,6.07
14,0,1,28,2.25
15,0,1,28,1.09
16,0,3,28,7.27
17,0,4,28,10.03
18,0,2,28,5.55
19,0,2,28,6.07
20,0,1,28,1.83
21,0,4,28,9.49
22,0,3,28,6.73
23,0,1,28,3.63
24,0,1,28,2.27
25,0,2,28,4.79
26,0,1,28,2.13
27,0,1,28,1.37
28,0,2,28,3.19
29,0,4,28,8.19
30,0,4,28,9.77
31,0,2,28,4.79
32,0,4,28,9.07
33,0,3,28,7.23
34,0,1,28,1.47
35,0,3,28,8.27
36,0,4,28,10.31
37,0,2,28,4.37
38,0,1,28,-0.33
39,0,2,28,6.07
40,0,2,28,6.29
41,0,3,28,8.45
42,0,4,28,10.33
43,0,3,28,8.51
44,0,1,28,3.29
45,0,2,28,7.41
46,0,4,28,10.55
47,0,2,28,6.75
48,0,2,28,5.85
